"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","Daily XP Goal","Avg XP Earned / Student / School Day"
"Math","Alpha School Plano","WL",25,52
"Math","Alpha School San Francisco","HS",25,0
"Math","Alpha School San Francisco","L1",25,36.6
"Math","Alpha School San Francisco","L2",25,0
"Math","Alpha School San Francisco","LL",25,38.2
"Math","Alpha School San Francisco","MS",25,28.7142
"Math","Alpha School Santa Barbara","HS",25,164
"Math","Alpha School Santa Barbara","L2",25,49
"Math","Alpha School Santa Barbara","MS",25,20.4285
"Math","Alpha School Scottsdale","L1",25,36.1666
"Math","Alpha School Scottsdale","L2",25,21.0769
"Math","Alpha School Scottsdale","LL",25,27.8571
"Math","Alpha School Scottsdale","MS",25,1.8333
"Math","GT School","HS",25,24
"Math","GT School","L1",25,24.2857
"Math","GT School","L2",25,31
"Math","GT School","LL",25,36
"Math","GT School","MS",25,29.3333
"Math","Montessorium Cedar Park","L1",25,32.5
"Math","Montessorium Cedar Park","L2",25,50
"Math","Montessorium Cedar Park","LL",25,21.4
"Math","Montessorium Cedar Park","MS",25,0
"Math","NextGen Academy","L1",25,28.3333
"Math","NextGen Academy","L2",25,25.6
"Math","NextGen Academy","MS",25,0
"Math","Nova Academy Austin","L1",25,28.0909
"Math","Nova Academy Austin","L2",25,15
"Math","Nova Academy Austin","LL",25,47.6666
"Math","Nova Academy Austin","MS",25,62.5
"Math","Nova Academy Bastrop","L1",25,14.6666
"Math","Nova Academy Bastrop","L2",25,17.75
"Math","Nova Academy Bastrop","LL",25,7
"Math","Nova Academy Bastrop","MS",25,12.3333
"Math","ScienceSIS","L1",25,6.75
"Math","ScienceSIS","L2",25,5.0588
"Math","ScienceSIS","MS",25,0
"Math","Strata","HS",25,22.4666
"Math","Strata","L1",25,44.6666
"Math","Strata","L2",25,34.625
"Math","Strata","MS",25,33.31
"Math","Texas Sports Academy","L1",25,47.1428
"Math","Texas Sports Academy","L2",25,13.3636
"Math","Texas Sports Academy","LL",25,14.8571
"Math","Texas Sports Academy","MS",25,17
"Math","Waypoint Academy","L1",25,20
"Reading","Alpha Anywhere Center","L1",25,19.75
"Reading","Alpha Anywhere Center","L2",25,75.7142
"Reading","Alpha Anywhere Center","LL",25,23.5
"Reading","Alpha Anywhere Center","MS",25,15
"Reading","Alpha High School","HS",25,3.7954
"Reading","Alpha School Austin","L1",25,24.1
"Reading","Alpha School Austin","L2",25,14.2941
"Reading","Alpha School Austin","LL",25,31.2608
"Reading","Alpha School Austin","MS",25,2.3265
"Reading","Alpha School Austin","WL",25,21.6
"Reading","Alpha School Brownsville","L1",25,21.1538
"Reading","Alpha School Brownsville","L2",25,40.2857
"Reading","Alpha School Brownsville","LL",25,22.25
"Reading","Alpha School Brownsville","MS",25,16.7777
"Reading","Alpha School Brownsville","WL",25,40
"Reading","Alpha School Chantilly","L1",25,25
"Reading","Alpha School Chantilly","MS",25,10
"Reading","Alpha School Fort Worth","L1",25,26
"Reading","Alpha School Fort Worth","L2",25,0
"Reading","Alpha School Fort Worth","LL",25,20
"Reading","Alpha School Fort Worth","MS",25,16
"Reading","Alpha School Lake Forest","L1",25,30.8
"Reading","Alpha School Lake Forest","L2",25,36.6666
"Reading","Alpha School Lake Forest","LL",25,44
"Reading","Alpha School Miami","HS",25,30
"Reading","Alpha School Miami","L1",25,22.923
"Reading","Alpha School Miami","L2",25,16.5625
"Reading","Alpha School Miami","LL",25,16.6666
"Reading","Alpha School Miami","MS",25,20.7727
"Reading","Alpha School Palm Beach","L1",25,23
"Reading","Alpha School Palm Beach","L2",25,55
"Reading","Alpha School Palm Beach","LL",25,20
"Reading","Alpha School Plano","L1",25,13
"Reading","Alpha School Plano","L2",25,40
"Reading","Alpha School Plano","LL",25,42.3333
"Reading","Alpha School San Francisco","L1",25,35.5
"Reading","Alpha School San Francisco","L2",25,12
"Reading","Alpha School San Francisco","LL",25,16.75
"Reading","Alpha School San Francisco","MS",25,18.4285
"Reading","Alpha School Santa Barbara","HS",25,240
"Reading","Alpha School Santa Barbara","L2",25,62
"Reading","Alpha School Santa Barbara","MS",25,55.7142
"Reading","Alpha School Scottsdale","L1",25,14
"Reading","Alpha School Scottsdale","L2",25,11.3076
"Reading","Alpha School Scottsdale","LL",25,25.3333
"Reading","Alpha School Scottsdale","MS",25,10.1666
"Reading","GT School","L1",25,16.2857
"Reading","GT School","L2",25,35.3333
"Reading","GT School","LL",25,49
"Reading","GT School","MS",25,26.3333
"Reading","Montessorium Cedar Park","L1",25,56.6666
"Reading","Montessorium Cedar Park","L2",25,0
"Reading","Montessorium Cedar Park","LL",25,38.5
"Reading","Montessorium Cedar Park","MS",25,0
"Reading","NextGen Academy","L1",25,30
"Reading","NextGen Academy","L2",25,22.2
"Reading","NextGen Academy","MS",25,0
"Reading","Nova Academy Austin","L1",25,14.6363
"Reading","Nova Academy Austin","L2",25,15
"Reading","Nova Academy Austin","LL",25,29.3333
"Reading","Nova Academy Austin","MS",25,31
"Reading","Nova Academy Bastrop","L1",25,11.8333
"Reading","Nova Academy Bastrop","L2",25,26.25
"Reading","Nova Academy Bastrop","LL",25,15
"Reading","Nova Academy Bastrop","MS",25,16
"Reading","Strata","HS",25,16.1428
"Reading","Strata","L1",25,45
"Reading","Strata","L2",25,23.8666
"Reading","Strata","MS",25,27.0434
"Reading","Texas Sports Academy","L1",25,28.1428
"Reading","Texas Sports Academy","L2",25,14.5454
"Reading","Texas Sports Academy","LL",25,80.75
"Reading","Texas Sports Academy","MS",25,9.1111
"Reading","Waypoint Academy","L1",25,0
"Science","Alpha Anywhere Center","L1",12.5,16.25
"Science","Alpha Anywhere Center","L2",12.5,5.2
"Science","Alpha Anywhere Center","MS",12.5,5.7142
"Science","Alpha High School","HS",12.5,41.5384
"Science","Alpha School Austin","L1",12.5,17.3333
"Science","Alpha School Austin","L2",12.5,1.625
"Science","Alpha School Austin","MS",12.5,5.7708
"Science","Alpha School Brownsville","L1",12.5,6.5
"Science","Alpha School Brownsville","L2",12.5,22.2857
"Science","Alpha School Brownsville","MS",12.5,12.1111
"Science","Alpha School Chantilly","L1",12.5,13
"Science","Alpha School Chantilly","MS",12.5,13
"Science","Alpha School Fort Worth","L2",12.5,6.5
"Science","Alpha School Fort Worth","MS",12.5,13
"Science","Alpha School Lake Forest","L1",12.5,0
"Science","Alpha School Lake Forest","L2",12.5,26
"Science","Alpha School Miami","HS",12.5,85.5714
"Science","Alpha School Miami","L1",12.5,29.25
"Science","Alpha School Miami","L2",12.5,11.2666
"Science","Alpha School Miami","MS",12.5,13.2
"Science","Alpha School Palm Beach","L2",12.5,26
"Science","Alpha School San Francisco","HS",12.5,0
"Science","Alpha School San Francisco","L1",12.5,17.3333
"Science","Alpha School San Francisco","L2",12.5,90
"Science","Alpha School San Francisco","MS",12.5,9.2857
"Science","Alpha School Santa Barbara","HS",12.5,25
"Science","Alpha School Santa Barbara","MS",12.5,17.6666
"Science","Alpha School Scottsdale","L1",12.5,19.5
"Science","Alpha School Scottsdale","L2",12.5,9.75
"Science","Alpha School Scottsdale","MS",12.5,7.2
"Science","GT School","HS",12.5,0
"Science","GT School","L1",12.5,13
"Science","GT School","L2",12.5,31.1666
"Science","GT School","MS",12.5,6.3333
"Science","Montessorium Cedar Park","L1",12.5,0
"Science","Montessorium Cedar Park","L2",12.5,26
"Science","Montessorium Cedar Park","MS",12.5,0
"Science","NextGen Academy","L1",12.5,26
"Science","NextGen Academy","L2",12.5,9
